mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
0.0198,0.0198,0.0381,0.06,0.05,1.85,0.97,0,0.78
0.0198,0.0198,0.0381,1.71,0.04,0.08,1.19,0,0.63
0.0198,0.0198,0.0381,1.16,0.61,0.01,0.01,1.84,0.1
0.0198,0.0198,0.0381,0.05,0.58,0.36,0,2.16,0.08
0.0198,0.0198,0.0381,0.01,1.41,1.6,0.09,0.57,0.18
0.0198,0.0198,0.0381,0.13,0,1.7,1.01,0.08,1.09
0.0198,0.0198,0.0381,0.26,0.08,0.01,2.07,0.06,0.58
0.0198,0.0198,0.0381,1.18,0.09,0.09,1.81,0,0.39
-103.1312,36.1227,147.4403,2.11,0,0.13,0.39,0.03,0.69
0.0198,0.0198,0.0381,0.92,1.85,0.05,0.13,0,0.4
0.0198,0.0198,0.0381,0,1.1,0.52,0.04,1.88,0.14
-71.9081,10.1762,140.4974,0,0.43,0.69,0.18,2.15,0.1
0.0198,0.0198,0.0381,0.18,0.04,1.4,1.64,0.52,0.18
0.0198,0.0198,0.0381,1.22,0.19,0.01,1.48,0.08,1.1
0.0198,0.0198,0.0381,0.1,0.6,2.26,0.08,0.43,0.3
0.0198,0.0198,0.0381,0.06,0.56,1.18,0.3,1.84,0.12
0.0198,0.0198,0.0381,0.23,0.01,0.8,0.52,2.07,0.1
0.0198,0.0198,0.0381,1.55,0.18,0.05,1.35,0.61,0.25
0.0198,0.0198,0.0381,1.41,0.88,0.31,0.04,0.08,1.42
0.0198,0.0198,0.0381,0.19,1.89,0.21,0.22,0.03,0.82
0.0198,0.0198,0.0381,0.18,0.88,2.11,0.05,0.35,0.23
0.0198,0.0198,0.0381,0.08,0.22,1.71,1.41,0.28,0.18
0.0198,0.0198,0.0381,0.12,0.05,0.49,1.57,1.45,0.26
0.0198,0.0198,0.0381,0.27,0.09,0.82,1.05,1.76,0.12
0.0198,0.0198,0.0381,0.67,0.21,0.04,0.8,1.98,0.16
-91.5465,9.9382,131.4946,0.36,0.23,0.65,0.54,0.16,2.01
-101.4649,55.7214,119.5926,0.12,0.35,0.3,0.13,0.22,2.16
-29.0608,44.0177,119.6689,0.09,1.36,1.66,0.22,0.36,0.56
-43.621,2.1225,130.5791,0.26,0.05,2.29,0.96,0.39,0.01
-41.5183,84.802,143.0915,2.06,0,0.27,0.85,0.41,0.08
0.0198,0.0198,0.0381,1.07,0.32,0.08,0.38,0.18,1.95
0.0198,0.0198,0.0381,0.92,0.44,0.27,0,0.14,2.03
-46.4775,33.3455,108.3009,0.12,0.44,2.3,0.13,0.36,0.74
-84.8814,6.3676,138.819,0.23,0.18,1.32,1.23,1.42,0.03
-88.7694,58.5779,117.6089,0.67,0.13,0.18,2.15,0.44,0.08
-21.9989,45.803,127.5273,2.03,0.61,0.1,0.32,0.14,1.01
-43.2639,11.7235,119.7452,0.91,1.7,0,0.17,0.18,1.02
-53.9361,35.845,104.6387,0.08,0.1,2.26,0.8,0.34,0.62
-111.5023,40.4868,142.3285,0.08,0.27,1,1.27,1.64,0.04
-37.2732,15.6115,116.083,1.45,0.58,0.01,0.22,0.18,1.64
-78.4939,1.3687,125.391,0.31,1.14,0.47,0.04,0.12,1.84
-52.9442,27.3548,108.4535,0.08,0.05,2.02,1.2,0.31,0.25
-67.8218,15.6115,110.6661,1.59,0.41,0,0.08,0.14,1.57
-110.1534,32.314,134.165,0.34,0.21,0.03,0.17,0.05,2.21
0.0198,0.0198,0.0381,0.03,0.56,2.29,0.04,0.1,0.13
0.0198,0.0198,0.0381,0,0.03,1.13,1.6,0.93,0.06
0.0198,0.0198,0.0381,0.43,0,0.05,1.9,0.96,0.09
0.0198,0.0198,0.0381,1.16,0.06,0,1.48,1.06,0.05
0.0198,0.0198,0.0381,0.09,0.91,0.34,0.14,0.01,1.93
0.0198,0.0198,0.0381,0.13,0.16,1.29,0.19,0.01,1.73
